,items,total_sale,quantities,proportions,categories,month
77,NIRVANA HOOKAH SINGLE         ,255486.00000000003,790,7.35488621738898,TOBACCO,12
128,ARABIAN MIST                  ,238854.0,517,6.876087114629479,TOBACCO,12
81,SAMBUCA                       ,237006.0,513,6.8228872143228685,TOBACCO,12
80,MINT FLAVOUR SINGLE           ,149688.0,504,4.3091919248354955,TOBACCO,12
84,CALCUTTA MINT                 ,136752.0,296,3.9367926226892185,TOBACCO,12
270,RED BULL 2+1                  ,76107.34999999999,246,2.1909650609309277,BEVERAGE,12
37,GREAT LAKES SHAKE                   ,72820.83000000002,535,2.0963532988336975,FOOD,12
78,SILVER APPLE SINGLE           ,72118.20000000001,223,2.076126109465497,TOBACCO,12
51,JR.CHL AVALANCHE              ,71257.2,360,2.051339792277189,FOOD,12
228,GRENADINE                     ,66528.0,144,1.9151964110379982,BEVERAGE,12
75,KF DRAUGHT PITCHER (2LTR)     ,65625.0,125,1.8892010052063586,LIQUOR,12
74,CARLSBERG                     ,65073.78,404,1.8733325803973704,LIQUOR,12
39,POUTINE WITH FRIES            ,64617.080000000016,411,1.8601851807923768,FOOD,12
85,GREEN APPLE FLAVOUR SINGLE    ,64152.0,216,1.8467965392152124,TOBACCO,12
275,RED BULL SHEESHA              ,61182.0,103,1.7612966994367305,MISC,12
11,CAPPUCCINO                    ,57766.5,778,1.662971883691476,BEVERAGE,12
71,TUBORG                        ,57651.579999999994,428,1.6596635868607206,LIQUOR,12
87,N R G  HOOKAH                 ,54945.0,111,1.5817470359019181,TOBACCO,12
45,OREO COOKIE SHAKE             ,47730.98000000001,266,1.374071091740718,FOOD,12
79,RED WINE SHEESHA              ,44946.0,88,1.2938975753143618,TOBACCO,12
46,B.M.T. PANINI                 ,40411.33,311,1.1633542896415372,FOOD,12
86,THE  CHAMPAGNE SHEESHA        ,38016.0,74,1.0943979491645703,TOBACCO,12
3,RED BULL ENERGY DRINK         ,32701.350000000002,199,0.9414007358720755,BEVERAGE,12
13,CAFFE LATTE                   ,30555.0,352,0.8796119880240806,BEVERAGE,12
48,COTTAGE CHEESE PANINI         ,29748.770000000004,229,0.8564023800023279,FOOD,12
69,KF DRAUGHT (1/2LTR)           ,29531.169999999995,180,0.8501381493168739,LIQUOR,12
44,PHILLYCREAM CHEESE &CHILLY PAN,27142.480000000003,209,0.7813729599968532,FOOD,12
12,LEMON ICED TEA                ,26612.960000000006,253,0.76612923098692,BEVERAGE,12
52,THE FERROR ROCHER SHAKE       ,26420.42,122,0.7605864231919875,FOOD,12
7,QUA  MINERAL WATER(1000ML)    ,25985.74,420,0.7480729314899974,BEVERAGE,12
57,KIT KAT SHAKE                 ,24214.179999999993,145,0.6970735725142505,FOOD,12
89,BLUE BERRY SINGLE             ,23608.200000000004,73,0.6796287264169564,TOBACCO,12
73,KF DRAUGHT (1LTR)             ,23329.600000000002,79,0.6716084384161869,LIQUOR,12
6,BERRY BLAST                   ,21278.51999999999,181,0.6125623066408166,BEVERAGE,12
49,MAGGI NDLCREAM/ CHEE/GARLIC   ,21068.770000000004,136,0.606524060380367,FOOD,12
82,MISCHIEF HOOKAH SINGLE        ,19727.40000000001,61,0.5679089357730733,TOBACCO,12
61,LAVA LAVA                     ,19676.7,106,0.5664493930536222,FOOD,12
17,MOROCCAN MINT TEA             ,19101.53,343,0.5498914998396863,BEVERAGE,12
41,SATAY CHICKEN PANINI          ,18752.290000000005,132,0.5398376398921318,FOOD,12
88,RABAT HOOKAH SINGLE           ,18691.2,48,0.5380789916725804,TOBACCO,12
33,ULTIMATE HOT CHOCOLATE        ,17986.85,153,0.5178022872456531,BEVERAGE,12
104,SR.CHL AVALANCHE              ,17820.0,60,0.5129990386708924,FOOD,12
16,MASALA CHAI CUTTING           ,17325.0,350,0.49874906537447866,BEVERAGE,12
42,COUNTRY ROAST CHICKEN PANINI  ,16650.379999999997,117,0.47932822298008143,FOOD,12
55,MAGGI NDL ARRABIATA           ,16397.130000000005,106,0.4720377063390377,FOOD,12
27,COUNTRY LEMONADE              ,16304.410000000002,155,0.4693684992197579,BEVERAGE,12
25,THE CHOCO LATTE               ,15518.069999999996,132,0.4467314810340972,BEVERAGE,12
134,TOBLERONE SHAKE               ,15035.439999999995,90,0.43283761313096963,FOOD,12
94,VLN CAB SAUV (GLS)            ,14773.5,67,0.42529693029205545,WINES,12
106,LINDT CHOCOLATE SHAKE         ,14157.0,44,0.40754923627743117,FOOD,12
59,NON-VEG CLUB WRAP             ,13848.6,70,0.3986710710963928,FOOD,12
8,PINK LEMONADE                 ,13253.940000000006,126,0.3815521031763014,BEVERAGE,12
40,GARDEN FRESH PANINI           ,12864.060000000005,99,0.37032830602719874,FOOD,12
204,CHICKEN SLOUVLAKI WRAP        ,12078.0,61,0.3476993484324937,FOOD,12
118,AL SIKANDARI HOOKAH SINGLE    ,12071.399999999996,31,0.3475093487885414,TOBACCO,12
36,MT. BROWNIE                   ,12028.5,54,0.3462743511028523,FOOD,12
257,ORANGE ARRABIATA              ,11966.899999999998,64,0.3445010210926319,FOOD,12
47,CHICKEN SALAMI PANINI         ,11937.689999999999,84,0.3436601287290193,FOOD,12
239,KF DRAFT MUG                  ,11254.74,49,0.3239994837536947,MISC,12
65,THAT CHOCOLATE THING......... ,10914.75,63,0.31421191118592157,FOOD,12
14,MIAMI MELONS                  ,10834.560000000003,103,0.3119034155119026,BEVERAGE,12
53,VEG. CLUB WRAP                ,10549.619999999997,55,0.3037006127016396,FOOD,12
198,CHEESE FONDUE                 ,10209.49,25,0.2939090098383888,FOOD,12
274,RED BULL 3+2                  ,10209.339999999998,22,0.2939046916646626,BEVERAGE,12
240,LEMON INFUSED CHAR GRILLED VEG,10147.719999999998,54,0.2921307858979454,FOOD,12
91,GRAPE FLAVOUR SINGLE          ,10098.0,34,0.290699455246839,TOBACCO,12
115,POUTINE WITH WEDGES           ,9596.930000000002,47,0.27627473985363904,FOOD,12
64,SNICKER BAR SHAKE             ,9188.339999999998,55,0.2645123225017568,FOOD,12
83,WHITE WINE SHEESHA            ,9108.0,18,0.26219950865401165,TOBACCO,12
97,LINDT HOT CHOCOLATE           ,8928.5,37,0.2570320940950091,BEVERAGE,12
271,BUDWEISER                     ,8629.710000000001,50,0.24843057991069512,LIQUOR,12
70,HOEGAARDEN MUG (1 LITRE)      ,8531.28,10,0.2455969943115719,LIQUOR,12
38,VERTIGO                       ,8464.5,38,0.24367454336867386,FOOD,12
176,BLUEBERRY BRAIN FREEZER SHAKE ,8440.019999999999,62,0.2429698174165603,BEVERAGE,12
63,DUTCH TRUFFLE CAKE SHAKE      ,8353.03,50,0.24046556453362092,FOOD,12
288,SMOKED CHICK & PESTO CREAM CRO,7969.5,46,0.2294245700722602,FOOD,12
19,COOL CALIFORNICA              ,7889.250000000002,75,0.22711434712875075,BEVERAGE,12
50,GOOEY CHOCOLATE FUDGE         ,7802.679999999999,97,0.22462218513224455,FOOD,12
311,VODKA (SM)                    ,7612.5,29,0.2191473166039376,LIQUOR,12
298,THE AFTER EIGHT SHAKE         ,7573.5,34,0.21802459143512926,BEVERAGE,12
34,JAMAICAN BLUE MT (REG)        ,7350.829999999998,36,0.21161440647773033,BEVERAGE,12
251,MM SALSA SHEESHA              ,7128.0,12,0.20519961546835694,MISC,12
109,STRAWBERRY CHEESECAKE SHAKE   ,7016.560000000001,42,0.2019915002680492,FOOD,12
90,JUICE HOOKAH SINGLE           ,7009.199999999999,18,0.20177962187721762,TOBACCO,12
15,DOPPIO                        ,6831.0,92,0.19664963149050874,BEVERAGE,12
105,BLACK FOREST SHAKE            ,6682.430000000001,40,0.19237262435384578,FOOD,12
111,MEZE PLATTER                  ,6670.340000000001,49,0.1920245795515152,FOOD,12
265,POLLO CON AIOLI               ,6459.75,29,0.18596215151819848,FOOD,12
273,HOEGAARDEN MUG (1/2 LITRE)    ,6431.27,14,0.18514227426671998,LIQUOR,12
43,HASH BROWN OMELETTE           ,6360.829999999998,31,0.18311445988490296,FOOD,12
233,HOTDOG WRAP                   ,6311.39,34,0.18169118982475216,FOOD,12
136,SPANISH OMELETTE BREAKFAST    ,6305.2,39,0.18151299318898487,FOOD,12
114,BAILEYS IRISH SHAKE           ,6237.0,28,0.17954966353481233,FOOD,12
180,STRAWBERRY FLAVOUR SINGLE     ,6237.0,21,0.17954966353481233,TOBACCO,12
29,IRISH COFFEE                  ,6187.5999999999985,40,0.17812754498765504,BEVERAGE,12
241,SULA BRUT (BTL)               ,6048.0,4,0.174108764639818,WINES,12
234,ICE BERG SHEESHA              ,5940.0,10,0.17099967955696413,MISC,12
152,THE GREAT INDIAN WRAP         ,5940.0,30,0.17099967955696413,FOOD,12
54,CAESARS SALAD WRAP            ,5921.4400000000005,34,0.17046537752791072,FOOD,12
236,ITALIAN CAPONATA PANINO       ,5878.2,38,0.1692205919817755,FOOD,12
247,MEDITER RANEAN PANINO         ,5847.299999999999,45,0.16833104819418115,FOOD,12
18,CHAI LATTE                    ,5847.130000000001,63,0.16832615426395822,BEVERAGE,12
60,MAGGI NDLTHAI STYLE           ,5717.25,33,0.16458719157357796,FOOD,12
62,ADD FRIES                     ,5673.829999999998,131,0.16333722421897126,FOOD,12
9,TROPICAL SMOOTHIE             ,5642.9000000000015,48,0.1624468167966318,BEVERAGE,12
207,CHOCOLATE FONDUE              ,5630.649999999999,14,0.16209416594232656,FOOD,12
258,PAAN SHEESHA                  ,5568.8,10,0.16031363897589593,MISC,12
301,TRADITIONAL ITALIAN CRUSTINI  ,5550.120000000001,39,0.15977588240786159,FOOD,12
153,APPLE FLAVOUR SINGLE          ,5346.0,18,0.1538997116012677,TOBACCO,12
250,MIXED FLAVOUR SINGLE          ,5346.0,18,0.1538997116012677,TOBACCO,12
156,JAMAICAN BLUE MT (AU LAIT)    ,5265.619999999999,23,0.1515857462405288,BEVERAGE,12
276,RED SANGRIA (CARAFE) áááááááá ,5040.0,5,0.14509063719984835,WINES,12
292,STRAWBERRY LITE SHAKE         ,4696.24,33,0.13519453453242378,BEVERAGE,12
108,ITALIAN OMELETTE BREAKFAST    ,4656.25,29,0.13404330941702258,FOOD,12
35,KENYA AA  (REG)               ,4640.7,30,0.1335956587407413,BEVERAGE,12
93,VLN SAUV BLANC (GLS)          ,4630.5,21,0.13330202292736065,WINES,12
144,SULA BLUSH ZINFANDEL (BTL)    ,4536.0,4,0.13058157347986352,WINES,12
66,SCRAMBLED EGGS                ,4529.2300000000005,38,0.13038667990568834,FOOD,12
10,CURRANT COOLER                ,4467.280000000002,38,0.12860327415677356,BEVERAGE,12
31,QUA  MINERAL WATER(500ML)     ,4417.7300000000005,102,0.1271768374358901,BEVERAGE,12
113,COOKIE MONSTER                ,4343.570000000001,26,0.12504193234566377,FOOD,12
132,BLACK CURRANT ICED TEA        ,4207.59,40,0.12112736392375197,BEVERAGE,12
21,MONSOON MALABAR (AULAIT)      ,4207.5,34,0.12112477301951625,BEVERAGE,12
92,VLN CHENIN BLANC (GLS)        ,4189.5,19,0.12060659217237393,WINES,12
28,MONSOON MALABAR (REG)         ,4158.0,42,0.11969977568987489,BEVERAGE,12
121,VLN CAB SAUV (BTL)            ,4032.0,4,0.11607250975987868,WINES,12
68,ROCKY ROAD SHAKE              ,4009.47,24,0.11542392006620554,FOOD,12
297,TEQUILA                       ,3937.5,10,0.11335206031238151,LIQUOR,12
99,STRAWBERRY ICED TEA           ,3786.83,36,0.10901459874355192,BEVERAGE,12
58,BUN MASKA & CHAI              ,3786.75,51,0.10901229571756463,FOOD,12
151,CHEESE CAKE OF THE WEEK       ,3768.26,29,0.1084800088362501,FOOD,12
282,ROMA TOMATO & JALAPENO CROQUE ,3712.56,24,0.10687652699259305,FOOD,12
129,COOKIE CRUMBLE                ,3675.5,27,0.1058096502039767,BEVERAGE,12
267,QUESO CROQUETAS FRITOS        ,3564.0,16,0.10259980773417847,FOOD,12
235,ICED LEMON OR STR CAMOMILE    ,3564.0,9,0.10259980773417847,BEVERAGE,12
165,SULA BLUSH ZINFANDEL(GLS)     ,3528.0,14,0.10156344603989384,WINES,12
225,GNOCCHI CON POMMODORO         ,3526.96,19,0.10153350670205895,FOOD,12
232,HONEYGLAZED CHICK & MUSTERD CR,3465.0,20,0.09974981307489574,FOOD,12
26,ESPRESSO                      ,3415.5,69,0.09832481574525437,BEVERAGE,12
305,BEAN N NACHO CHILLI           ,3403.1800000000003,11,0.09797014974321029,FOOD,12
169,ASSORTED TAPAS(2 )VEG         ,3403.11,10,0.0979681345954714,FOOD,12
116,KHEEMA GHOTALA                ,3267.08,24,0.09405212678231756,FOOD,12
168,ASSORTED TAPAS (2)NONVEG      ,3267.04,8,0.09405097526932392,FOOD,12
216,CREPES WITH MUSHROOMS         ,3260.77,17,0.09387047560756934,FOOD,12
67,SEASONAL FRUITPIE (LOWCAL)    ,3118.5,18,0.08977483176740617,FOOD,12
215,CREPES MONTE CRISTO           ,3062.8500000000004,15,0.08817278931499119,FOOD,12
174,BLACKENED BALTI CHICKEN CRUSTI,3056.7,19,0.08799574419221755,FOOD,12
316,WHITE SANGRIA (CARAFE)áááááááá,3024.0,3,0.087054382319909,LIQUOR,12
56,HERBED CHICKEN PIE            ,3007.08,18,0.08656729232359522,FOOD,12
238,JAPANESE YAKITORI WRAP        ,2970.08,16,0.08550214280446936,FOOD,12
72,HOEGAARDEN (GLS)              ,2953.15,9,0.08501476492990717,LIQUOR,12
24,GREAT LAKES-JAVA BLEND (REG)        ,2939.02,25,0.08460799296490044,BEVERAGE,12
253,NUTELLA CREPES                ,2895.8199999999997,18,0.08336435893175889,FOOD,12
261,PHILADELPHIA CREAM CHEESECAKE ,2877.1499999999996,15,0.08282689024197293,FOOD,12
131,COLUMBIAN SUPREMO  (REG)      ,2846.2099999999996,20,0.08193619494138497,BEVERAGE,12
23,BRAZIL BOURBONSANTOS (REG)    ,2821.44,24,0.08122312052006748,BEVERAGE,12
248,MEXICAN CHILLI CON CARNE WRAP ,2784.4400000000005,15,0.08015797100094163,FOOD,12
154,ETHIOPIAN YIRGACHEFFE (REG)   ,2784.42,18,0.08015739524444479,BEVERAGE,12
103,CLASSIC BELGIAN  WAFFLE       ,2710.13,27,0.07801874773698908,FOOD,12
242,M & M SHAKE                   ,2673.0,12,0.07694985580063385,BEVERAGE,12
112,SUNSHINE SHAKE                ,2672.97,16,0.07694899216588862,FOOD,12
100,GREAT LAKES FLOATS W CHOC           ,2660.75,43,0.07659720494632867,BEVERAGE,12
32,EARL GREY                     ,2654.39,39,0.07641411438033838,BEVERAGE,12
263,PLAIN JANE (CHOCOLATE)        ,2598.75,21,0.0748123598061718,MISC,12
0,3COURSE NON-VEG MEAL          ,2598.75,7,0.0748123598061718,FOOD,12
195,CAJUN CHICKEN CRUSTINI        ,2512.1600000000003,14,0.07231962205316886,FOOD,12
189,BUTTER MILK PAN CAKES         ,2505.93,27,0.07214027390440791,FOOD,12
5,YEMENI GREAT LAKES (REG)            ,2450.28,12,0.07053823145199295,BEVERAGE,12
196,CHAMPINONES CON AJO Y OLIVA   ,2425.5,14,0.06982486915242701,FOOD,12
175,BLUE BERRY MUFFINS            ,2413.07,26,0.06946703648965041,FOOD,12
186,ORANGE FLAVOUR SINGLE         ,2376.0,8,0.06839987182278565,TOBACCO,12
287,SHERRIED MUSHROOMS CROQUE     ,2320.3500000000004,15,0.06679782937037067,FOOD,12
285,SHERRIED GARLIC MUSHROOMS CRUS,2276.96,16,0.06554872565050926,FOOD,12
135,TIRAMISU                      ,2252.25,13,0.06483737849868222,FOOD,12
300,TOMATOLINO                    ,2134.67,23,0.061452506053849255,FOOD,12
303,VANILLA LITE SHAKE            ,2134.66,15,0.06145221817560084,BEVERAGE,12
266,POLLO PELOTA CON TAMATE SALSA ,2116.17,9,0.06091993129428632,FOOD,12
286,SANGRIA ROSE (CARAFE)         ,2016.0,2,0.05803625487993934,WINES,12
120,VLN CAB SAUV CLASIQ (GLS)     ,1984.5,7,0.05712943839744029,WINES,12
96,INDIAN PEABERRY (REG)         ,1980.0,20,0.0569998931856547,BEVERAGE,12
227,GREEK GYROS CRUSTINI          ,1973.8400000000001,11,0.05682256018463267,FOOD,12
221,ENG BREAKFAST TEA             ,1973.7999999999997,29,0.05682140867163901,BEVERAGE,12
137,CHUNKY CHOCO CHIP COOKIES     ,1973.77,29,0.05682054503689378,FOOD,12
22,COSTARICA TARRAZU (REG)       ,1880.98,16,0.05414932276987514,BEVERAGE,12
98,GREAT LAKES FLOAT W VANILLA         ,1856.35,30,0.05344027864403541,BEVERAGE,12
1,3COURSE VEG MEAL              ,1856.2800000000002,6,0.05343826349629653,FOOD,12
133,BRAZIL BOURBONSANTOS (AULAIT) ,1850.0399999999997,13,0.05325862746928718,BEVERAGE,12
315,WHITE RUM (SM)                ,1837.5,7,0.052897628145778045,LIQUOR,12
200,YEMENI GREAT LAKES (AULAIT)         ,1831.52,8,0.05272547695322743,BEVERAGE,12
163,CHERRY FLAVOUR SINGLE         ,1782.0,6,0.051299903867089235,TOBACCO,12
127,APRICOT FLAVOUR SINGLE        ,1782.0,6,0.051299903867089235,TOBACCO,12
283,ROSE FLAVORS SINGLE           ,1782.0,6,0.051299903867089235,MISC,12
217,CREPES WITH POTATO LAKTES     ,1726.3000000000002,9,0.04969642202343219,FOOD,12
110,THANK GOD ITS A SUNDAE        ,1726.29,9,0.04969613414518377,FOOD,12
130,GREAT LAKES-JAVA BLEND (AULAIT)     ,1707.7299999999998,12,0.04916183211613035,BEVERAGE,12
107,APPLE PIE SHAKE               ,1670.6,10,0.048092940179775126,FOOD,12
148,SUMATRA MANDHELING (REG)      ,1645.88,14,0.04738130514969968,BEVERAGE,12
150,APPLE CINNAMON MUFFIN         ,1633.4599999999996,24,0.047023760365171474,FOOD,12
310,VEGETABLE PASTA               ,1608.76,4,0.04631270109159286,FOOD,12
299,THE CHOC FATHER               ,1584.0,8,0.045599914548523766,FOOD,12
206,MARRAKESH HOOKAH SINGLE       ,1557.6,4,0.044839915972715035,TOBACCO,12
197,CHEESE FINGERS                ,1546.8899999999999,5,0.04453159836866536,FOOD,12
277,RED SANGRIA (GLS)á áááááááááá ,1543.5,7,0.04443400764245355,WINES,12
166,SANGRIA ROSE (GLS)            ,1543.5,7,0.04443400764245355,WINES,12
260,PESTO CREAM                   ,1485.02,8,0.04275049564573785,FOOD,12
291,SRILANKAN OMELETTE BREAKFAST  ,1447.92,9,0.04168246734412786,FOOD,12
249,MEXICAN CHILLY CREPES         ,1429.3300000000002,7,0.04114730168032922,FOOD,12
147,CHAMOMILE TEA                 ,1429.2599999999998,21,0.041145286532590315,BEVERAGE,12
246,MAGGI NDL BOLOGNESE           ,1386.0,8,0.03989992522995829,FOOD,12
245,VLN CAB SAUV CLASIQ (BTL)     ,1386.0,1,0.03989992522995829,WINES,12
210,COUS COUS WRAP                ,1386.0,8,0.03989992522995829,FOOD,12
4,COLUMBIAN SUPREMO (AULAIT)    ,1336.4899999999998,8,0.038474640022068504,BEVERAGE,12
123,AFRICAN OMELETTE BREAKFAST    ,1299.37,6,0.03740603596396169,FOOD,12
157,HOUSEBLEND FULLCITY (REG)     ,1293.1599999999999,11,0.03722726357169759,BEVERAGE,12
170,BANANA WALNUT MUFFIN          ,1293.1499999999999,19,0.03722697569344918,FOOD,12
126,APPLE N CINNAMON CREPES       ,1287.04,8,0.03705108208366921,FOOD,12
259,PESCADO PANINO                ,1287.0300000000002,8,0.0370507942054208,FOOD,12
272,LATE HARVEST SULA CHENIN (BTL),1260.0,2,0.03627265929996209,TOBACCO,12
222,ESPRESSO TRIOS                ,1225.1599999999999,9,0.03526969148249329,BEVERAGE,12
149,OATMEAL AND RAISIN COOKIES    ,1225.1099999999997,18,0.03526825209125122,FOOD,12
164,LEMON FLAVOUR SINGLE          ,1188.0,4,0.03419993591139282,TOBACCO,12
296,SWEET MELON FLAVOUR SINGLE    ,1188.0,4,0.03419993591139282,FOOD,12
295,SUNNY SIDE UP/BULLS EYE       ,1175.6,10,0.03384296688336145,FOOD,12
95,ADD ON S                      ,1175.4799999999998,60,0.0338395123443805,MISC,12
302,VANILLA ICECREAM              ,1150.98,30,0.03313421063577013,FOOD,12
182,COSTARICA TARAZU (AULAIT)     ,1138.51,8,0.03277522645999987,BEVERAGE,12
317,WHITE SANGRIA (GLS)áááá áááááá,1102.5,5,0.03173857688746683,LIQUOR,12
211,CREME BRULEE                  ,1082.8300000000002,7,0.031172320372839644,FOOD,12
155,ETHOPIAN YIRGACHEFFE (AULAIT) ,1076.6399999999999,6,0.03099412373707236,BEVERAGE,12
101,ADD HAZELNUT FLAVOUR          ,1051.9500000000003,34,0.030283352341742165,BEVERAGE,12
143,VLN SAUV BLANC (BTL)          ,1008.0,1,0.02901812743996967,WINES,12
309,VLN CHENIN BLANC (BTL)        ,1008.0,1,0.02901812743996967,WINES,12
218,CRUMBED TOFU CRUSTINI         ,996.1699999999998,7,0.0286775674720978,FOOD,12
161,HERBED GARDEN PIE             ,996.1699999999998,7,0.0286775674720978,FOOD,12
312,WAIST WATCHING OMELETTE       ,952.9,7,0.02743191829121736,FOOD,12
212,KENYA AA (AULAIT)             ,897.2,5,0.025828436447560305,BEVERAGE,12
193,C C C ROMA TOMATO SALAD       ,891.0,9,0.025649951933544617,FOOD,12
102,CON PANNA                     ,891.0,12,0.025649951933544617,BEVERAGE,12
20,INDIAN PEABERRY (AULAIT)      ,866.25,7,0.024937453268723934,BEVERAGE,12
280,RED VELVET CHEESE CAKE        ,866.25,7,0.024937453268723934,FOOD,12
262,PLAIN  JANE (STRAWBERRY)      ,866.25,7,0.024937453268723934,MISC,12
158,HOUSEBLEND FULLCITY (AU LAIT) ,853.8599999999999,6,0.02458077211894097,BEVERAGE,12
191,GOLD FLAKE KING RED           ,840.0,8,0.02418177286664139,TOBACCO,12
220,DARK RUM (SM)                 ,787.5,3,0.022670412062476303,MISC,12
224,GIN (SM)                      ,787.5,3,0.022670412062476303,MISC,12
159,JAVA ESTATES (REG)            ,773.45,5,0.022265943123456883,BEVERAGE,12
187,LATE HARVEST SULA CHENIN (GLS),756.0,3,0.02176359557997725,TOBACCO,12
2,ADD HERB ROAST CHICKEN        ,742.56,20,0.021376687214110988,MISC,12
306,TENNESSEE CHICKEN WINGS       ,742.5,2,0.021374959944620516,FOOD,12
223,FISH FINGER                   ,742.5,2,0.021374959944620516,MISC,12
183,GREAT LAKES CREAM                   ,717.76,4,0.020662749158048242,BEVERAGE,12
269,RASPBERRY LITE SHAKE          ,711.55,5,0.020483976765784145,BEVERAGE,12
313,WARM PEPPER & CHICKPEA SALAD  ,693.0,4,0.019949962614979146,FOOD,12
160,HAWAIIAN KONA FANCY (AU LAIT) ,686.8199999999999,3,0.019772053857460285,BEVERAGE,12
178,CH COFFEE MUGS                ,675.0,3,0.01943178176783683,MERCHANDISE,12
171,PLAYING CARDS                 ,674.6400000000001,5,0.01942141815089399,MERCHANDISE,12
192,BENSON & HEDGES LIGHTS        ,630.0,6,0.018136329649981044,TOBACCO,12
243,GUATEMALA ANTIGUA (REG)       ,618.76,4,0.017812754498765508,BEVERAGE,12
