,items,total_sale,quantities,proportions,categories,month
78,SAMBUCA                       ,220836.0,478,8.309990256770105,TOBACCO,11
75,NIRVANA HOOKAH SINGLE         ,217648.2,673,8.190034330469448,TOBACCO,11
117,ARABIAN MIST                  ,193578.0,419,7.284280162315217,TOBACCO,11
76,MINT FLAVOUR SINGLE           ,134244.0,452,5.051560126201552,TOBACCO,11
81,CALCUTTA MINT                 ,123816.0,268,4.659157717184912,TOBACCO,11
204,GRENADINE                     ,75306.0,163,2.833741447392316,BEVERAGE,11
251,RED BULL 2+1                  ,68682.25,222,2.584491787177129,BEVERAGE,11
43,GREAT LAKES SHAKE                   ,67622.29000000002,496,2.544605820792274,FOOD,11
82,GREEN APPLE FLAVOUR SINGLE    ,63855.0,215,2.4028438653392334,TOBACCO,11
79,N R G  HOOKAH                 ,56925.0,115,2.14207011251172,TOBACCO,11
44,JR.CHL AVALANCHE              ,53833.2,272,2.025726636466683,FOOD,11
48,POUTINE WITH FRIES            ,48814.71000000001,313,1.8368824126820729,FOOD,11
71,CARLSBERG                     ,47981.25,305,1.8055195711190684,LIQUOR,11
84,SILVER APPLE SINGLE           ,46246.20000000001,143,1.7402301772022752,TOBACCO,11
108,TUBORG                        ,43050.0,328,1.619958161504252,LIQUOR,11
10,CAPPUCCINO                    ,36753.75,495,1.3830322248173497,BEVERAGE,11
38,OREO COOKIE SHAKE             ,36246.83,202,1.3639569822800734,FOOD,11
73,KF DRAUGHT PITCHER (2LTR)     ,30937.5,59,1.1641685394085435,LIQUOR,11
32,B.M.T. PANINI                 ,26635.170000000006,205,1.0022731945308527,FOOD,11
6,RED BULL ENERGY DRINK         ,25833.220000000005,167,0.9720960645048753,BEVERAGE,11
5,LEMON ICED TEA                ,23457.290000000008,223,0.8826905547566106,BEVERAGE,11
23,BERRY BLAST                   ,22689.179999999993,193,0.8537868134457381,BEVERAGE,11
72,KF DRAUGHT (1/2LTR)           ,22148.330000000005,135,0.8334347955212422,LIQUOR,11
87,MISCHIEF HOOKAH SINGLE        ,21991.200000000008,68,0.8275220423059773,TOBACCO,11
45,PHILLYCREAM CHEESE &CHILLY PAN,21957.33000000001,169,0.8262475247001666,FOOD,11
3,QUA  MINERAL WATER(1000ML)    ,21648.380000000005,351,0.8146218319244001,BEVERAGE,11
77,RABAT HOOKAH SINGLE           ,20638.200000000008,53,0.7766090715158436,TOBACCO,11
83,RED WINE SHEESHA              ,20295.0,41,0.7636945618520045,TOBACCO,11
80,BLUE BERRY SINGLE             ,19404.000000000007,60,0.7301665079170387,TOBACCO,11
54,KIT KAT SHAKE                 ,18376.659999999996,110,0.6915080220252896,FOOD,11
100,THE FERROR ROCHER SHAKE       ,18186.899999999998,84,0.6843674120200157,FOOD,11
