,items,total_sale,quantities,proportions,categories,month
79,NIRVANA HOOKAH SINGLE         ,206652.60000000003,639,8.754939700216505,TOBACCO,05
76,SAMBUCA                       ,157080.0,340,6.654771960817373,TOBACCO,05
78,MINT FLAVOUR SINGLE           ,152658.0,514,6.467431741752347,TOBACCO,05
74,N R G  HOOKAH                 ,110385.0,223,4.676515169944142,TOBACCO,05
81,CALCUTTA MINT                 ,107646.0,233,4.56047607903073,TOBACCO,05
35,GREAT LAKES SHAKE                   ,79090.61000000002,580,3.3507128456324313,FOOD,05
80,GREEN APPLE FLAVOUR SINGLE    ,58212.0,196,2.4661801972440855,TOBACCO,05
36,JR.CHL AVALANCHE              ,54236.8,274,2.2977688813627433,FOOD,05
111,CARLSBERG                     ,46935.0,298,1.9884245096827313,LIQUOR,05
75,SILVER APPLE SINGLE           ,45599.40000000001,141,1.9318411545078675,TOBACCO,05
109,KF DRAUGHT (1LTR)             ,43470.0,138,1.8416280693705833,LIQUOR,05
57,POUTINE WITH FRIES            ,40695.850000000006,258,1.72409983130653,FOOD,05
262,REDBULL HOOKAH + 2REDBULL     ,38874.0,62,1.6469162541686695,TOBACCO,05
117,RED WINE SHEESHA              ,38115.0,77,1.6147608434336276,TOBACCO,05
256,RED BULL 2+1                  ,37077.27999999999,120,1.570797321921153,BEVERAGE,05
114,THE  CHAMPAGNE SHEESHA        ,35145.0,71,1.488935323166072,TOBACCO,05
53,OREO COOKIE SHAKE             ,33914.14,189,1.4367893299416534,FOOD,05
14,CAPPUCCINO                    ,32150.25,433,1.362061256896287,BEVERAGE,05
54,B.M.T. PANINI                 ,30013.62000000001,231,1.2715418692298677,FOOD,05
16,LEMON ICED TEA                ,27875.31000000001,265,1.1809513075317812,BEVERAGE,05
42,THE FERROR ROCHER SHAKE       ,22089.18,102,0.9358190457184105,FOOD,05
110,TUBORG                        ,21918.75,167,0.9285986943988147,LIQUOR,05
45,PHILLYCREAM CHEESE &CHILLY PAN,21809.610000000008,168,0.9239749242701952,FOOD,05
12,BERRY BLAST                   ,21748.739999999994,185,0.9213961365871354,BEVERAGE,05
10,COUNTRY LEMONADE              ,21563.920000000006,205,0.9135661457939204,BEVERAGE,05
47,KIT KAT SHAKE                 ,21216.700000000008,127,0.8988559986062773,FOOD,05
24,RED BULL ENERGY DRINK         ,20416.109999999993,132,0.8649386069325385,BEVERAGE,05
60,MAGGI NDLCREAM/ CHEE/GARLIC   ,18469.980000000003,119,0.7824898460711592,FOOD,05
85,BLUE BERRY SINGLE             ,18110.4,56,0.7672560613648267,TOBACCO,05
18,MIAMI MELONS                  ,17669.880000000005,168,0.7485932134899906,BEVERAGE,05
43,TOBLERONE SHAKE               ,17204.03,103,0.7288572476258016,FOOD,05
21,PINK LEMONADE                 ,17145.97000000001,163,0.726397506983804,BEVERAGE,05
112,KF DRAUGHT (1/2LTR)           ,16898.32,103,0.7159056921372514,LIQUOR,05
83,RABAT HOOKAH SINGLE           ,15965.399999999996,41,0.6763820745049253,TOBACCO,05
3,QUA  MINERAL WATER(1000ML)    ,15221.140000000003,246,0.6448511311667671,BEVERAGE,05
56,COTTAGE CHEESE PANINI         ,14290.900000000005,110,0.6054410530611475,FOOD,05
68,COUNTRY ROAST CHICKEN PANINI  ,14088.729999999994,99,0.5968760209289948,FOOD,05
40,LAVA LAVA                     ,12772.829999999996,69,0.5411272660064104,FOOD,05
77,GRAPE FLAVOUR SINGLE          ,12771.0,43,0.5410497371504882,TOBACCO,05
73,SR.CHL AVALANCHE              ,12771.0,43,0.5410497371504882,FOOD,05
241,ORANGE ARRABIATA              ,11880.299999999996,64,0.5033147907187332,FOOD,05
32,GARDEN FRESH PANINI           ,11849.290000000005,91,0.5020010367175562,FOOD,05
260,RED BULL 3+2                  ,11601.510000000002,25,0.49150371435664875,BEVERAGE,05
6,CAFFE LATTE                   ,10977.11,126,0.46505069925393433,BEVERAGE,05
